GENEID,transcript count
gene.10142,1
gene.10181,1
gene.10185,1
gene.102,1
gene.10248,2
gene.10270,1
gene.10387,1
gene.10438,1
gene.10469,1
gene.10603,1
gene.10652,1
gene.10683,1
gene.10801,1
gene.10805,1
gene.1082,1
gene.10834,1
gene.10936,1
gene.11041,1
gene.11049,1
gene.11087,1
gene.11112,1
gene.11118,1
gene.11133,1
gene.11177,1
gene.11193,1
gene.11229,2
gene.11289,1
gene.11432,1
gene.11531,1
gene.11855,1
gene.11912,1
gene.11924,1
gene.11932,1
gene.12074,1
gene.1225,1
gene.12472,1
gene.1255,1
gene.1258,1
gene.12594,2
gene.12709,1
gene.12711,1
gene.12736,2
gene.12835,1
gene.12842,1
gene.12848,1
gene.13009,1
gene.13047,1
gene.13051,1
gene.13057,1
gene.13071,1
gene.13080,1
gene.13098,1
gene.13157,1
gene.13251,1
gene.13290,1
gene.13348,1
gene.13397,1
gene.13404,1
gene.13437,1
gene.13471,1
gene.13481,1
gene.13528,1
gene.13553,1
gene.13596,1
gene.13798,1
gene.13862,1
gene.13864,1
gene.13875,1
gene.13960,1
gene.13969,1
gene.1407,1
gene.14164,1
gene.1418,1
gene.14244,1
gene.14254,1
gene.1436,1
gene.14530,1
gene.14709,2
gene.14722,1
gene.1480,1
gene.14800,1
gene.14823,1
gene.14903,1
gene.1491,1
gene.14974,1
gene.15103,1
gene.1511,1
gene.1519,1
gene.15195,1
gene.15218,1
gene.1525,2
gene.15258,1
gene.15262,1
gene.15356,1
gene.1536,1
gene.15376,1
gene.15389,1
gene.15393,1
gene.15444,1
gene.15613,1
gene.15716,1
gene.15780,1
gene.158,1
gene.15974,2
gene.16090,3
gene.16105,1
gene.16116,1
gene.16124,1
gene.16138,1
gene.16206,1
gene.16221,2
gene.16359,1
gene.16423,1
gene.16467,1
gene.16587,1
gene.16615,1
gene.16674,1
gene.16683,1
gene.16696,1
gene.1672,1
gene.16730,1
gene.16762,1
gene.16802,1
gene.16844,1
gene.1686,1
gene.169,1
gene.16966,1
gene.1703,1
gene.17139,1
gene.17177,1
gene.17242,1
gene.17282,1
gene.17338,1
gene.17354,1
gene.17388,1
gene.17402,1
gene.1741,1
gene.1792,1
gene.1878,1
gene.188,1
gene.191,1
gene.1925,1
gene.1969,2
gene.20,1
gene.2010,1
gene.21,1
gene.2168,1
gene.2210,1
gene.2279,1
gene.2292,1
gene.2365,2
gene.2475,1
gene.2497,1
gene.2549,1
gene.2735,1
gene.2750,1
gene.2752,1
gene.2801,1
gene.2846,1
gene.2855,1
gene.2882,1
gene.2946,2
gene.2961,1
gene.3026,1
gene.3030,1
gene.3066,1
gene.3119,1
gene.3135,1
gene.3205,1
gene.3254,1
gene.3263,1
gene.3286,1
gene.3299,1
gene.3377,1
gene.3489,1
gene.3552,1
gene.362,2
gene.3645,1
gene.382,1
gene.40,1
gene.4047,3
gene.4086,1
gene.4130,1
gene.4151,1
gene.4357,1
gene.4371,1
gene.4425,1
gene.4446,1
gene.4471,1
gene.4490,1
gene.4499,1
gene.4584,1
gene.4704,1
gene.4714,1
gene.4785,1
gene.4815,1
gene.4839,1
gene.4885,1
gene.4898,1
gene.4988,1
gene.5234,1
gene.5271,1
gene.5304,1
gene.5396,1
gene.5558,1
gene.5611,1
gene.5741,1
gene.5857,1
gene.5953,1
gene.5956,1
gene.5996,1
gene.6019,1
gene.6089,1
gene.609,1
gene.6117,1
gene.6126,3
gene.6225,1
gene.6254,1
gene.6278,1
gene.6344,1
gene.6406,1
gene.646,1
gene.6628,1
gene.665,1
gene.6677,1
gene.6801,1
gene.6833,1
gene.6842,1
gene.689,2
gene.6971,1
gene.7110,2
gene.7138,1
gene.7148,1
gene.7160,1
gene.7238,1
gene.7243,2
gene.7250,1
gene.7403,1
gene.7503,1
gene.7541,1
gene.7755,1
gene.7776,1
gene.7822,1
gene.791,1
gene.793,1
gene.7955,1
gene.8019,1
gene.8061,2
gene.8066,1
gene.813,2
gene.8222,1
gene.8385,1
gene.8459,1
gene.8481,1
gene.8506,1
gene.851,1
gene.8516,1
gene.8525,1
gene.8529,1
gene.8681,1
gene.8712,1
gene.8723,1
gene.8773,1
gene.8786,1
gene.8799,1
gene.8957,1
gene.9073,1
gene.9183,1
gene.9187,1
gene.9198,1
gene.9203,1
gene.9229,1
gene.9259,1
gene.9302,2
gene.9469,1
gene.9606,1
gene.9631,1
gene.9650,1
gene.9654,1
gene.975,1
gene.9796,1
gene.9882,1
gene.9932,1
gene.9961,1
gene.9987,1
